School Name	Average Point Score	School Type
The Royal Grammar School, High Wycombe	40.72	Academy converter - mainstream
Royal Latin School	40.31	Academy converter - mainstream
St Mary's School	35.84	Independent school
St Michael's Catholic School	26.86	Voluntary aided school
Sir Henry Floyd Grammar School	38.24	Academy converter - mainstream
Sir Thomas Fremantle School	29.72	Free school - mainstream
Sir William Borlase's Grammar School	41.52	Academy converter - mainstream
Sir William Ramsay School	21.51	Academy converter - mainstream
Stowe School	35.8	Independent school
Waddesdon Church of England School	31.76	Academy converter - mainstream
Akeley Wood Senior School	31.28	Independent school
Wycombe Abbey School	51.69	Independent school
Wycombe High School	40.39	Academy converter - mainstream
Bourne End Academy	24.62	Sponsored academy
Buckingham School	25.04	Community school
Buckinghamshire UTC	16.67	Free school - UTC (university technical college)
Burnham Grammar School	35.8	Academy converter - mainstream
Denbigh School	30.22	Academy converter - mainstream
The Hazeley Academy	30.49	Academy converter - mainstream
Lord Grey School	27.09	Foundation school
The Milton Keynes Academy	21.56	Sponsored academy
Milton Keynes College	20.42	General Further Education College
Oakgrove School	33.18	Academy converter - mainstream
Ousedale School	30.47	Academy converter - mainstream
The Radcliffe School	24.38	Foundation school
St Paul's Catholic School	29.73	Voluntary aided school
Shenley Brook End School	29.72	Academy converter - mainstream
Sir Herbert Leon Academy	14.48	Sponsored academy
Slated Row School	29.72	Community special school
Stantonbury Campus	25.57	Foundation school
Stantonbury Campus	29.72	Sponsored academy
Walton High	28.93	Academy converter - mainstream
The Webber Independent School	31.71	Independent school
Cheney School	32.28	Academy converter - mainstream
The Cherwell School	36.76	Academy converter - mainstream
Chipping Norton School	34.3	Academy converter - mainstream
Cokethorpe School	37.75	Independent school
The Cooper School	27.77	Academy converter - mainstream
Didcot Girls' School	34.28	Academy converter - mainstream
d'Overbroeck's	42.9	Independent school
Europa School Uk	29.72	Free school - mainstream
Faringdon Community College	32.74	Academy converter - mainstream
Fitzharrys School	23.8	Community school
Abacus College	29.72	Independent school
Gosford Hill School	28	Academy converter - mainstream
Headington School	47.23	Independent school
The Henley College	28.19	Sixth Form College
The Henry Box School	31.81	Academy converter - mainstream
Heyford Park Free School	29.72	Free school - mainstream
Abingdon and Witney College	19.18	General Further Education College
Abingdon School	42.88	Independent school
John Mason School	29.02	Academy converter - mainstream
King Alfred's	31.6	Academy converter - mainstream
Kingham Hill School	37.43	Independent school
Kings Oxford	37.31	Independent school
Larkmead School	31.69	Community school
Lord Williams's School	30.4	Academy converter - mainstream
Magdalen College School	52.46	Independent school
The Marlborough Church of England School	30.16	Academy converter - mainstream
Matthew Arnold School	32.33	Academy converter - mainstream
Banbury Academy	28.24	Sponsored academy
North Oxfordshire Academy	20.38	Sponsored academy
Bartholomew School	34.5	Academy converter - mainstream
The Oratory School	33.54	Independent school
Our Lady's Abingdon	35.17	Independent school
The Oxford Academy	15.71	Sponsored academy
Oxford High School GDST	47.48	Independent school
Oxford Spires Academy	23.19	Sponsored academy
Radley College	48.77	Independent school
Rye St Antony School	36.69	Independent school
Activate Learning	23.54	General Further Education College
St Birinus School	28.99	Academy converter - mainstream
St Clare's, Oxford	43.03	Independent school
Bellerbys College Oxford	39.33	Independent school
St Edward's School	40.42	Independent school
St Gregory the Great Catholic School	28.56	Academy converter - mainstream
St Helen and St Katharine	46.8	Independent school
The Bicester School	25.61	Sponsored academy
Bicester Technology Studio	29.72	Free school - studio school
Shiplake College	34.38	Independent school
Sibford School	29	Independent school
Space Studio Banbury	24.28	Free school - studio school
Tudor Hall School	42.55	Independent school
UTC Oxfordshire	29.72	Free school - UTC (university technical college)
Wallingford School	33.44	Academy converter - mainstream
Blessed George Napier Catholic School and Sports College	32.51	Academy converter - mainstream
The Warriner School	28.84	Academy converter - mainstream
Bloxham School	33.66	Independent school
Wheatley Park School	29.1	Academy converter - mainstream
Wood Green School	31.31	Community school
Wychwood School	38.69	Independent school
Burford School	33.52	Academy converter - mainstream
Carfax College	29.72	Independent school
Carterton Community College	29.72	Community school
The Abbey School Reading	46.34	Independent school
Highdown School and Sixth Form Centre	28.2	Academy converter - mainstream
John Madejski Academy	19.08	Sponsored academy
Kendrick School	46.62	Academy converter - mainstream
Leighton Park School	37.53	Independent school
Prospect School	21.92	Academy converter - mainstream
Queen Anne's School	36.97	Independent school
Reading Girls' School	29.72	Foundation school
Reading School	46.67	Academy converter - mainstream
St Joseph's College	34.58	Independent school
UTC Reading	29.25	Free school - UTC (university technical college)
Blessed Hugh Faringdon Catholic School	23.47	Voluntary aided school
The WREN School	29.72	Free school - mainstream
Ditton Park Academy	29.72	Free school - mainstream
East Berkshire College	19.69	General Further Education College
Eden Girls' School, Slough	29.72	Free school - mainstream
Herschel Grammar School	35.5	Academy converter - mainstream
The Langley Academy	24.32	Sponsored academy
Langley Grammar School	38.74	Academy converter - mainstream
Lynch Hill Enterprise Academy	29.72	Free school - mainstream
Baylis Court School	31.08	Academy converter - mainstream
Beechwood School	19.32	Community school
St Bernard's Catholic Grammar School	37.39	Voluntary aided school
St Joseph's Catholic High School	22.72	Voluntary aided school
Slough and Eton Church of England Business and Enterprise College	23.54	Academy converter - mainstream
Upton Court Grammar School	29.91	Academy converter - mainstream
The Westgate School	25.98	Academy converter - mainstream
Wexham School	22.46	Community school
Denefield School	29.9	Academy converter - mainstream
Downe House	42.7	Independent school
The Downs School	32.46	Foundation school
John O'Gaunt School	5.91	Community school
Kennet School	32.74	Academy converter - mainstream
Little Heath School	27.55	Voluntary aided school
Mary Hare School	23.92	Non-maintained special school
Newbury College	29.72	General Further Education College
Newbury Hall School	29	Independent school
Padworth College	30.88	Independent school
Pangbourne College	32.37	Independent school
Park House School	28.92	Academy converter - mainstream
St Bartholomew's School	32.23	Academy converter - mainstream
St Gabriel's School	38.63	Independent school
Theale Green School	28.59	Sponsored academy
Trinity School	32.71	Academy converter - mainstream
The Willink School	28.5	Community school
Bradfield College	39.19	Independent school
Charters School	32.95	Academy converter - mainstream
Churchmead Church of England (VA) School	29.72	Voluntary aided school
Claires Court Schools	31.95	Independent school
Cox Green School	25.45	Academy converter - mainstream
Altwood CofE Secondary School	24.13	Academy converter - mainstream
Desborough College	26.35	Sponsored academy
Eton College	50.62	Independent school
Furze Platt Senior School	29.75	Academy converter - mainstream
Holyport College	29.72	Free school - mainstream
Hurst Lodge School	33.41	Independent school
Marist Senior School	37.59	Independent school
Newlands Girls' School	35.68	Community school
Redroofs School for the Performing Arts	29.72	Independent school
St George's School	37.4	Independent school
Berkshire College of Agriculture	24.28	Agriculture and Horticulture College
St Mary's School Ascot	47.26	Independent school
The Windsor Boys' School	30.79	Academy converter - mainstream
Windsor Girls' School	28.26	Academy converter - mainstream
Brigidine School Windsor	31.67	Independent school
The Emmbrook School	30.06	Community school
The Forest School	27.92	Academy converter - mainstream
The Holt School	33.46	Academy converter - mainstream
Luckley House School	33.96	Independent school
Maiden Erlegh School	33.78	Academy converter - mainstream
The Piggott School	34.24	Academy converter - mainstream
Reading Blue Coat School	40.56	Independent school
Reddam House Berkshire	29.98	Independent school
St Crispin's School	29.18	Community school
Waingels College	32.18	Academy converter - mainstream
Bohunt School Wokingham	29.72	Sponsored academy
The Bulmershe School	27.77	Community school
Didcot Sixth Form College	31.83	
16-19 Abingdon	28.32	
Churcher's College	43.49	Independent school
Alton College	30.29	Sixth Form College
Alton Convent School	38.79	Independent school
Eastleigh College	29.72	General Further Education College
Fairways School	29.72	Independent school
Fareham College	3.85	General Further Education College
Farnborough College of Technology	21.32	General Further Education College
Farnborough Hill	42.09	Independent school
Hampshire Collegiate School	32.14	Independent school
Havant College	29.84	Sixth Form College
The Arnewood School Academy	32.49	Academy converter - mainstream
