School Name	Average Point Score	School Type
Hall Cross Academy	30.89	Academy converter - mainstream
The Hayfield School	31.93	Academy converter - mainstream
Armthorpe Academy	11	Academy converter - mainstream
Hill House School	34.69	Independent school
Ash Hill Academy	16	Sponsored academy
Balby Carr Community Academy	25.94	Sponsored academy
The McAuley Catholic High School	28.79	Academy converter - mainstream
Mexborough Academy	22.07	Sponsored academy
Outwood Academy Adwick	22.67	Sponsored academy
Ridgewood School	31.1	Academy converter - mainstream
Rossington All Saints Academy	24.94	Sponsored academy
Sir Thomas Wharton Community College	22.49	Academy converter - mainstream
Trinity Academy	28.28	Sponsored academy
XP School	29.72	Free school - mainstream
Campsmount (A Co-Operative Academy)	16.64	Academy converter - mainstream
Greenhead College	34.74	Sixth Form College
Heckmondwike Grammar School	34.19	Academy converter - mainstream
Huddersfield New College	27.94	Sixth Form College
Kirklees College	5.26	General Further Education College
The Mirfield Free Grammar and Sixth Form	25.3	Academy converter - mainstream
Nether Hall Learning Campus High School	29.72	Community school
Batley Girls High School	28.15	Academy converter - mainstream
Batley Grammar School	21.03	Free school - mainstream
St John Fisher Catholic Voluntary Academy	25.15	Academy converter - mainstream
Shelley College	26.35	Academy converter - mainstream
The Co-operative Academy of Leeds	20	Sponsored academy
Allerton Grange School	25.9	Community school
Allerton High School	29.5	Community school
Crawshaw Academy	30.3	Sponsored academy
David Young Community Academy	18.47	Sponsored academy
Elliott Hudson College	29.72	Free school - 16-19
The Farnley Academy	24.15	Sponsored academy
Fulneck School	29.41	Independent school
Garforth Academy	30.81	Academy converter - mainstream
Gateways School	35.52	Independent school
The Grammar School At Leeds	42.92	Independent school
Guiseley School	27.11	Foundation school
Horsforth School	30.81	Academy converter - mainstream
John Smeaton Academy	19.54	Sponsored academy
Lawnswood School	25.22	Community school
Leeds City College	26.07	General Further Education College
Leeds College of Building	29.72	General Further Education College
Leeds East Academy	29.72	Sponsored academy
Leeds Jewish Free School	29.72	Free school - mainstream
Leeds West Academy	24.35	Sponsored academy
The Morley Academy	25.38	Academy converter - mainstream
Notre Dame Catholic Sixth Form College	27.29	Sixth Form College
Otley Prince Henry's Grammar School Specialist Language College	33.12	Academy converter - mainstream
Priesthorpe School	27.6	Foundation school
Pudsey Grangefield School	26.71	Foundation school
Ralph Thoresby School	25.93	Foundation school
Rodillian Academy	29.28	Academy converter - mainstream
Roundhay School	29.02	Community school
Royds School	20.47	Foundation school
The Ruth Gorse Academy	29.72	Free school - mainstream
Benton Park School	27.51	Community school
St. Mary's Menston, a Catholic Voluntary Academy	30.06	Academy converter - mainstream
South Leeds Academy	22.49	Sponsored academy
Swallow Hill Community College	19.32	Sponsored academy
Temple Moor High School Science College	26.74	Foundation school
University Technical College Leeds	29.72	Free school - UTC (university technical college)
Wetherby High School	24.75	Foundation school
Woodhouse Grove School	31.83	Independent school
Woodkirk Academy	29.21	Academy converter - mainstream
Boston Spa School	30.54	Foundation school
Abbey Grange Church of England Academy	32.27	Academy converter - mainstream
Brigshaw High School and Language College	26.73	Foundation school
Carr Manor Community School, Specialist Sports College	29.72	Community school
Dearne Valley College	29.72	General Further Education College
Dinnington High School	23.73	Academy converter - mainstream
Focus School - Bramley Campus	33.8	Independent school
Aston Academy	32.41	Academy converter - mainstream
Maltby Academy	29.3	Sponsored academy
RNN Group	29.72	General Further Education College
Swinton Community School	24.84	Community school
Thomas Rotherham College	28.35	Sixth Form College
Wales High School	32.63	Academy converter - mainstream
Wath Comprehensive School : A Language College	31.14	Foundation school
Wickersley School and Sports College	27.34	Academy converter - mainstream
Brinsworth Academy	30.31	Academy converter - mainstream
Chapeltown Academy	30.07	Free school - 16-19
All Saints' Catholic High School	27.63	Academy converter - mainstream
Al-Mahad-Al-Islami	29.72	Independent school
Forge Valley School	27.91	Sponsored academy
High Storrs School	33.98	Community school
King Ecgbert School	35.97	Academy converter - mainstream
King Edward VII School	29.74	Community school
Longley Park Sixth Form College	23.17	Sixth Form College
Meadowhead School Academy Trust	28.99	Academy converter - mainstream
Notre Dame High School	32.6	Academy converter - mainstream
The Sheffield College	19.92	General Further Education College
Sheffield High School	39.22	Independent school
Sheffield Park Academy	27.7	Sponsored academy
Sheffield Springs Academy	26.55	Sponsored academy
Silverdale School	36.22	Academy converter - mainstream
Birkdale School	39.73	Independent school
Tapton School	37.53	Academy converter - mainstream
UTC Sheffield	20.29	Free school - UTC (university technical college)
UTC Sheffield Olympic Legacy Park	29.72	Free school - UTC (university technical college)
Al Huda Academy (Jamia Al-Hudaa)	29.72	Independent school
Bradfield School	30.84	Academy converter - mainstream
Cathedral Academy	38.97	Academy converter - mainstream
De Lacy Academy	13.18	Academy converter - mainstream
Hemsworth Arts and Community Academy	23.57	Sponsored academy
Meadowcroft School	29.72	Independent special school
